,Unnamed: 0,article_id,article_url,comment_count,year,date,title,datetimeobject
103,4590,4590,https://www.nytimes.com/video/us/politics/100000005709202/trump-salutes-otto-warmbiers-parents.html,0,2018,01/01/1975,trump salutes otto warmbiers parents,1975-01-01
111,4927,4927,https://www.nytimes.com/video/world/asia/100000005707631/how-many-us-wars-equal-the-one-in-afghanistan.html,0,2018,01/01/1975,how many us wars equal the one in afghanistan,1975-01-01
808,17954,17954,https://www.nytimes.com/video/world/asia/100000005858676/why-korean-war-never-ended-armistice.html,0,2018,01/01/1975,why korean war never ended armistice,1975-01-01
861,15935,15935,https://www.nytimes.com/video/world/africa/100000005844700/algerias-deadliest-plane-crash-in-years.html,0,2018,01/01/1975,algerias deadliest plane crash in years,1975-01-01
891,24147,5128,https://www.nytimes.com/video/us/politics/100000005930477/us-allies-denounce-trumps-tariffs-decision.html,0,2018,01/01/1975,us allies denounce trumps tariffs decision,1975-01-01
898,6449,6449,https://www.nytimes.com/video/world/europe/100000005732944/deadly-plane-crash-near-moscow.html,0,2018,01/01/1975,deadly plane crash near moscow,1975-01-01
917,20430,1411,https://www.nytimes.com/video/world/100000005891805/iranians-fear-they-will-bear-brunt-of-trumps-decision.html,0,2018,01/01/1975,iranians fear they will bear brunt of trumps decision,1975-01-01
945,21815,2796,https://www.nytimes.com/video/business/100000005890055/doing-business-in-iran-is-risky-exhibit-a-the-carmaker-peugeot.html,0,2018,01/01/1975,doing business in iran is risky exhibit a the carmaker peugeot,1975-01-01
947,21463,2444,https://www.nytimes.com/video/business/100000005835657/how-china-became-trumps-trade-nemesis.html,0,2018,01/01/1975,how china became trumps trade nemesis,1975-01-01
966,10118,10118,https://www.nytimes.com/video/us/politics/100000005781314/defending-president-trumps-tariffs.html,0,2018,01/01/1975,defending president trumps tariffs,1975-01-01
1026,8601,8601,https://www.nytimes.com/video/us/politics/100000005761633/trump-threatens-phase-2-if-north-korea-sanctions-fail.html,0,2018,01/01/1975,trump threatens phase 2 if north korea sanctions fail,1975-01-01
1058,9340,9340,https://www.nytimes.com/video/world/asia/100000005771054/how-chinas-media-sold-xi-jinpings-power-grab.html,0,2018,01/01/1975,how chinas media sold xi jinpings power grab,1975-01-01
