,Unnamed: 0,article_id,article_url,comment_count,year,date,title,datetimeobject
542,37721,1161,https://www.nytimes.com/video/world/europe/100000007493193/britain-united-kingdom-coronavirus-vaccine.html,0,2020,01/01/1975,britain united kingdom coronavirus vaccine,1975-01-01
543,37662,1102,https://www.nytimes.com/video/world/100000007492334/coronavirus-vaccine-united-kingdom.html,0,2020,01/01/1975,coronavirus vaccine united kingdom,1975-01-01
544,37557,997,https://www.nytimes.com/video/world/europe/100000007491306/france-coronavirus-case-numbers.html,0,2020,01/01/1975,france coronavirus case numbers,1975-01-01
557,37270,710,https://www.nytimes.com/video/world/canada/100000007487480/manitoba-coronavirus.html,0,2020,01/01/1975,manitoba coronavirus,1975-01-01
558,37260,700,https://www.nytimes.com/video/us/politics/100000007487064/pence-coronavirus-vaccine-cdc.html,0,2020,01/01/1975,pence coronavirus vaccine cdc,1975-01-01
559,37102,542,https://www.nytimes.com/video/us/politics/100000007485724/newsom-california-stay-at-home-coronavirus-restrictions.html,0,2020,01/01/1975,newsom california stay at home coronavirus restrictions,1975-01-01
560,37067,507,https://www.nytimes.com/video/us/politics/100000007485350/staten-island-coronavirus-bar-protest.html,0,2020,01/01/1975,staten island coronavirus bar protest,1975-01-01
566,39161,2601,https://www.nytimes.com/video/us/politics/100000007509969/moderna-coronavirus-vaccine-authorization.html,0,2020,01/01/1975,moderna coronavirus vaccine authorization,1975-01-01
567,39144,2584,https://www.nytimes.com/video/world/europe/100000007509830/sweden-king-coronavirus-failed.html,0,2020,01/01/1975,sweden king coronavirus failed,1975-01-01
569,39129,2569,https://www.nytimes.com/video/us/politics/100000007509324/new-jersey-snowstorm-coronavirus-vaccines.html,0,2020,01/01/1975,new jersey snowstorm coronavirus vaccines,1975-01-01
576,38946,2386,https://www.nytimes.com/video/business/economy/100000007507529/powell-federal-rates-economy-coronavirus.html,0,2020,01/01/1975,powell federal rates economy coronavirus,1975-01-01
588,38605,2045,https://www.nytimes.com/video/us/politics/100000007503601/azar-jerome-adams-coronavirus-vaccine.html,0,2020,01/01/1975,azar jerome adams coronavirus vaccine,1975-01-01
593,38546,1986,https://www.nytimes.com/video/us/politics/100000007502903/de-balsio-new-york-coronavirus-restaurants.html,0,2020,01/01/1975,de balsio new york coronavirus restaurants,1975-01-01
596,37053,493,https://www.nytimes.com/video/us/politics/100000007485155/de-blasio-coronavirus-new-york.html,0,2020,01/01/1975,de blasio coronavirus new york,1975-01-01
598,35840,3780,https://www.nytimes.com/video/us/politics/100000007463543/deblasio-nyc-coronavirus.html,0,2020,01/01/1975,deblasio nyc coronavirus,1975-01-01
601,35683,3623,https://www.nytimes.com/video/us/politics/100000007461712/biden-trump-health-care-coronavirus.html,0,2020,01/01/1975,biden trump health care coronavirus,1975-01-01
604,35617,3557,https://www.nytimes.com/video/world/australia/100000007460878/australia-coronavirus-cases-lockdown.html,0,2020,01/01/1975,australia coronavirus cases lockdown,1975-01-01
606,35435,3375,https://www.nytimes.com/video/us/politics/100000007458643/california-emergency-brake-coronavirus.html,0,2020,01/01/1975,california emergency brake coronavirus,1975-01-01
618,34819,2759,https://www.nytimes.com/video/business/economy/100000007452127/coronavirus-vaccine-economic-recovery.html,0,2020,01/01/1975,coronavirus vaccine economic recovery,1975-01-01
620,34798,2738,https://www.nytimes.com/video/world/europe/100000007451588/france-coronavirus-lockdown.html,0,2020,01/01/1975,france coronavirus lockdown,1975-01-01
622,34758,2698,https://www.nytimes.com/video/us/politics/100000007451170/wisconsin-ohio-coronavirus-restrictions.html,0,2020,01/01/1975,wisconsin ohio coronavirus restrictions,1975-01-01
624,34623,2563,https://www.nytimes.com/video/world/africa/100000007449921/south-africa-lift-coronavirus-restrictions.html,0,2020,01/01/1975,south africa lift coronavirus restrictions,1975-01-01
625,34597,2537,https://www.nytimes.com/video/world/europe/100000007449644/spain-unveils-new-covid-strategy.html,0,2020,01/01/1975,spain unveils new covid strategy,1975-01-01
629,35880,3820,https://www.nytimes.com/video/us/politics/100000007463967/biden-trump-coronavirus-transition-2020-election.html,0,2020,01/01/1975,biden trump coronavirus transition 2020 election,1975-01-01
636,36724,164,https://www.nytimes.com/video/world/asia/100000007481985/china-moon-spaceship-landing.html,0,2020,01/01/1975,china moon spaceship landing,1975-01-01
637,36712,152,https://www.nytimes.com/video/world/europe/100000007481861/germany-trier-car-crash.html,0,2020,01/01/1975,germany trier car crash,1975-01-01
638,36699,139,https://www.nytimes.com/video/world/europe/100000007481450/boris-johnson-coronavirus-vaccine-wockhardt.html,0,2020,01/01/1975,boris johnson coronavirus vaccine wockhardt,1975-01-01
639,36689,129,https://www.nytimes.com/video/us/politics/100000007481281/congress-bipartisan-coronavirus-stimulus.html,0,2020,01/01/1975,congress bipartisan coronavirus stimulus,1975-01-01
643,36542,4482,https://www.nytimes.com/video/world/europe/100000007471502/britiain-coronavirus-restrictions-christmas.html,0,2020,01/01/1975,britiain coronavirus restrictions christmas,1975-01-01
650,36369,4309,https://www.nytimes.com/video/us/politics/100000007469054/new-york-cuomo-coronavirus-restrictions.html,0,2020,01/01/1975,new york cuomo coronavirus restrictions,1975-01-01
652,36347,4287,https://www.nytimes.com/video/world/europe/100000007468735/england-coronavirus-restrictions-reopening.html,0,2020,01/01/1975,england coronavirus restrictions reopening,1975-01-01
670,43100,2386,https://www.nytimes.com/video/business/economy/100000007507529/powell-federal-rates-economy-coronavirus.html,0,2020,01/01/1975,powell federal rates economy coronavirus,1975-01-01
682,42759,2045,https://www.nytimes.com/video/us/politics/100000007503601/azar-jerome-adams-coronavirus-vaccine.html,0,2020,01/01/1975,azar jerome adams coronavirus vaccine,1975-01-01
687,42700,1986,https://www.nytimes.com/video/us/politics/100000007502903/de-balsio-new-york-coronavirus-restaurants.html,0,2020,01/01/1975,de balsio new york coronavirus restaurants,1975-01-01
693,43283,2569,https://www.nytimes.com/video/us/politics/100000007509324/new-jersey-snowstorm-coronavirus-vaccines.html,0,2020,01/01/1975,new jersey snowstorm coronavirus vaccines,1975-01-01
694,42400,1686,https://www.nytimes.com/video/world/australia/100000007499186/australia-coronavirus-astrazeneca-vaccine.html,0,2020,01/01/1975,australia coronavirus astrazeneca vaccine,1975-01-01
696,43315,2601,https://www.nytimes.com/video/us/politics/100000007509969/moderna-coronavirus-vaccine-authorization.html,0,2020,01/01/1975,moderna coronavirus vaccine authorization,1975-01-01
697,44751,4037,https://www.nytimes.com/video/us/politics/100000007527652/newsom-california-coronavirus-school-funding.html,0,2020,01/01/1975,newsom california coronavirus school funding,1975-01-01
698,44732,4018,https://www.nytimes.com/video/us/politics/100000007526908/colorado-united-kingdom-coronavirus-variant.html,0,2020,01/01/1975,colorado united kingdom coronavirus variant,1975-01-01
701,44624,3910,https://www.nytimes.com/video/us/politics/100000007525639/biden-trump-coronavirus-vaccine.html,0,2020,01/01/1975,biden trump coronavirus vaccine,1975-01-01
702,44618,3904,https://www.nytimes.com/video/us/politics/100000007525489/mcconnell-blocks-coronavirus-stimulus-checks.html,0,2020,01/01/1975,mcconnell blocks coronavirus stimulus checks,1975-01-01
703,44599,3885,https://www.nytimes.com/video/us/politics/100000007525071/kamala-harris-coronavirus-moderna-vaccine.html,0,2020,01/01/1975,kamala harris coronavirus moderna vaccine,1975-01-01
705,44487,3773,https://www.nytimes.com/video/us/politics/100000007523816/cuomo-new-york-coronavirus-positive-test.html,0,2020,01/01/1975,cuomo new york coronavirus positive test,1975-01-01
726,43298,2584,https://www.nytimes.com/video/world/europe/100000007509830/sweden-king-coronavirus-failed.html,0,2020,01/01/1975,sweden king coronavirus failed,1975-01-01
728,42087,1373,https://www.nytimes.com/video/world/canada/100000007495812/canada-coronavirus-pfizer-biontech-vaccine.html,0,2020,01/01/1975,canada coronavirus pfizer biontech vaccine,1975-01-01
730,40866,152,https://www.nytimes.com/video/world/europe/100000007481861/germany-trier-car-crash.html,0,2020,01/01/1975,germany trier car crash,1975-01-01
731,40853,139,https://www.nytimes.com/video/world/europe/100000007481450/boris-johnson-coronavirus-vaccine-wockhardt.html,0,2020,01/01/1975,boris johnson coronavirus vaccine wockhardt,1975-01-01
732,40843,129,https://www.nytimes.com/video/us/politics/100000007481281/congress-bipartisan-coronavirus-stimulus.html,0,2020,01/01/1975,congress bipartisan coronavirus stimulus,1975-01-01
735,40597,4037,https://www.nytimes.com/video/us/politics/100000007527652/newsom-california-coronavirus-school-funding.html,0,2020,01/01/1975,newsom california coronavirus school funding,1975-01-01
736,40578,4018,https://www.nytimes.com/video/us/politics/100000007526908/colorado-united-kingdom-coronavirus-variant.html,0,2020,01/01/1975,colorado united kingdom coronavirus variant,1975-01-01
739,40470,3910,https://www.nytimes.com/video/us/politics/100000007525639/biden-trump-coronavirus-vaccine.html,0,2020,01/01/1975,biden trump coronavirus vaccine,1975-01-01
740,40464,3904,https://www.nytimes.com/video/us/politics/100000007525489/mcconnell-blocks-coronavirus-stimulus-checks.html,0,2020,01/01/1975,mcconnell blocks coronavirus stimulus checks,1975-01-01
741,40445,3885,https://www.nytimes.com/video/us/politics/100000007525071/kamala-harris-coronavirus-moderna-vaccine.html,0,2020,01/01/1975,kamala harris coronavirus moderna vaccine,1975-01-01
743,40333,3773,https://www.nytimes.com/video/us/politics/100000007523816/cuomo-new-york-coronavirus-positive-test.html,0,2020,01/01/1975,cuomo new york coronavirus positive test,1975-01-01
759,40878,164,https://www.nytimes.com/video/world/asia/100000007481985/china-moon-spaceship-landing.html,0,2020,01/01/1975,china moon spaceship landing,1975-01-01
767,41893,1179,https://www.nytimes.com/video/us/politics/100000007493022/mcconnell-schumer-coronavirus-stimulus-bill.html,0,2020,01/01/1975,mcconnell schumer coronavirus stimulus bill,1975-01-01
