,Headline,Positive,Negative,Neutral,date,article_id
0,otto warmbier lawsuit north korea,0.07081252336502075,0.3038352131843567,0.6253522038459778,2018-04-26,18436
1,us military attache crash pakistan,0.053570255637168884,0.385314404964447,0.5611153244972229,2018-04-26,18337
2,india bus train crash,0.02991357073187828,0.16633832454681396,0.8037480711936951,2018-04-26,18350
3,narendra modi xi jinping china india,0.030637064948678017,0.05794604495167732,0.9114168882369995,2018-04-26,18287
4,trump orbit crash landing,0.024496059864759445,0.07003085315227509,0.9054731130599976,2018-04-26,18503
5,proton therapy finances,0.0383048877120018,0.020721707493066788,0.9409733414649963,2018-04-27,18675
6,china attack school knife,0.025659959763288498,0.7364912033081055,0.2378489226102829,2018-04-27,18619
7,for charlize theron motherhood is messy business,0.021133042871952057,0.5599507093429565,0.4189162254333496,2018-04-27,18595
8,north korea china japan russia,0.02586703561246395,0.05823417007923126,0.9158987998962402,2018-04-28,18733
9,att time warner trial jobs,0.02942475862801075,0.039114926010370255,0.9314603209495544,2018-04-29,18833
10,us allies trade war tariff negotiations,0.039663903415203094,0.05781710892915726,0.9025189876556396,2018-04-29,18827
11,the tax cut buybacks business investment,0.13681642711162567,0.30059605836868286,0.5625874996185303,2018-04-30,18989
12,trump china researchers espionage,0.03187128156423569,0.04214195907115936,0.9259868264198303,2018-04-30,2
13,white house delays tariffs eu canada mexico,0.01933264173567295,0.7331929206848145,0.24747444689273834,2018-04-30,1
14,review big is beautiful questions the virtues of small business,0.08696062862873077,0.028824076056480408,0.8842152953147888,2018-04-30,18966
15,china trump trade talks,0.16336235404014587,0.18225885927677155,0.6543787717819214,2018-04-30,18912
16,us embassy crash pakistan,0.02487439475953579,0.08738458901643753,0.887740969657898,2018-04-30,18916
17,pakistan aid afghan war,0.08476395905017853,0.07176412642002106,0.843471884727478,2018-05-01,661
18,entrepreneur namesake business,0.04137334227561951,0.049235131591558456,0.909391462802887,2018-05-01,679
19,venezuela us sanctions maduro,0.05292859673500061,0.08538305759429932,0.8616883158683777,2018-05-01,788
20,stocks equities dow markets,0.038572534918785095,0.0886087715625763,0.8728187084197998,2018-05-02,5400
21,china hong kong courts,0.03446789085865021,0.04710810258984566,0.9184239506721497,2018-05-02,5361
22,china us trade sorghum,0.05733422935009003,0.028201475739479065,0.9144642949104309,2018-05-02,5357
23,hispanics hollywood protest,0.04483984783291817,0.05119200050830841,0.903968095779419,2018-05-02,5482
24,trade deficit tariffs economists trump,0.05529669672250748,0.852647602558136,0.09205573797225952,2018-05-03,10126
25,puerto rico business maria,0.026558369398117065,0.04383572190999985,0.9296059608459473,2018-05-03,10081
26,xi jinping china leader,0.04513141140341759,0.03489261120557785,0.919975996017456,2018-05-03,10097
27,trump tariffs steel aluminum nafta,0.08450985699892044,0.019691817462444305,0.8957982659339905,2018-05-03,10140
28,trump trade tariffs nafta,0.07531722635030746,0.023329975083470345,0.9013527631759644,2018-05-03,10046
29,personal finance taxes,0.022179825231432915,0.04251134768128395,0.9353088140487671,2018-05-04,15114
30,china us trade conflict,0.05005693435668945,0.03612588718533516,0.9138172268867493,2018-05-04,15075
31,trump trade war china,0.035179879516363144,0.10117931663990021,0.8636407852172852,2018-05-04,15158
